i,j,f0
2,3,0
1,6,0
1,3,75884.00
1,4,0
3,2,312493
3,1,43124
3,6,38222
3,4,562900.00
4,2,0
4,3,0
5,6,88156
6,1,0
6,3,4943
6,4,192393.00
