i,j,f0
2,3,0
1,6,0
1,3,27398.00
1,4,0
3,2,81367.00
3,1,0
3,6,0
3,4,66114.00
4,2,0
4,3,0
5,6,35205
6,1,0
6,3,0
6,4,82428.00
