i,j,f0
2,3,0
1,6,0
1,3,84226.00
1,4,0
3,2,179330
3,1,528
3,6,36
3,4,146500.00
4,2,0
4,3,0
5,6,76828
6,1,0
6,3,107236
6,4,145302.00
