i,j,f0
2,3,0
1,6,0
1,3,"76,318.00"
1,4,0
3,2,"234,113.00"
3,1,63690
3,6,54240
3,4,"666,630.00"
4,2,0
4,3,0
5,6,63832
6,1,0
6,3,7913
6,4,"90,428.00"
