i,j,f0
2,3,0
1,6,0
1,3,"14,718.00"
1,4,0
3,2,"237,620.00"
3,1,0
3,6,28096
3,4,"458,187.00"
4,2,0
4,3,0
5,6,59829
6,1,0
6,3,41861
6,4,"90,221.00"
