i,j,f0
2,3,0
1,6,0
1,3,27645.00
1,4,0
3,2,158509.00
3,1,0
3,6,0
3,4,212040.00
4,2,0
4,3,0
5,6,84566
6,1,0
6,3,0
6,4,95983.00
