i,j,f0
2,3,0
1,6,0
1,3,"27,367.00"
1,4,0
3,2,"302,188.00"
3,1,0
3,6,0
3,4,"474,938.00"
4,2,0
4,3,0
5,6,28087
6,1,0
6,3,0
6,4,"118,731.00"
