i,j,f0
2,3,0
1,6,0
1,3,"24,231.00"
1,4,0
3,2,"119,631.00"
3,1,0
3,6,1
3,4,"99,507.00"
4,2,0
4,3,0
5,6,53055
6,1,0
6,3,69209
6,4,"85,866.00"
