i,j,f0
2,3,0
1,6,0
1,3,27363.00
1,4,0
3,2,293121
3,1,0
3,6,0
3,4,532518.00
4,2,0
4,3,0
5,6,77940
6,1,0
6,3,0
6,4,170039.00
