i,j,f0
2,3,0
1,6,0
1,3,45226.00
1,4,0
3,2,151812.00
3,1,0
3,6,1
3,4,242429.00
4,2,0
4,3,0
5,6,88348
6,1,0
6,3,43677
6,4,88872.00
