i,j,f0
2,3,0
1,6,0
1,3,45486.00
1,4,0
3,2,291940.00
3,1,4
3,6,9421
3,4,424578.00
4,2,0
4,3,0
5,6,94059
6,1,0
6,3,111698
6,4,132000.00
