i,j,f0
2,3,0
1,6,0
1,3,"26,458.00"
1,4,0
3,2,277824
3,1,0
3,6,0
3,4,"418,418.00"
4,2,0
4,3,0
5,6,34740
6,1,0
6,3,0
6,4,"167,374.00"
