i,j,f0
2,3,0
1,6,0
1,3,54237.00
1,4,0
3,2,267137.00
3,1,34616
3,6,63949
3,4,445599.00
4,2,0
4,3,0
5,6,84423
6,1,0
6,3,0
6,4,101917.00
