i,j,f0
2,3,0
1,6,0
1,3,"82,075.00"
1,4,0
3,2,325523
3,1,11914
3,6,0
3,4,"430,919.00"
4,2,0
4,3,0
5,6,69637
6,1,0
6,3,0
6,4,"180,576.00"
