i,j,f0
2,3,0
1,6,0
1,3,27359.00
1,4,0
3,2,301556
3,1,0
3,6,0
3,4,518739.00
4,2,0
4,3,0
5,6,66195
6,1,0
6,3,0
6,4,170553.00
