i,j,f0
2,3,0
1,6,0
1,3,26669.00
1,4,0
3,2,319553.00
3,1,0
3,6,84439
3,4,536361.00
4,2,0
4,3,0
5,6,70337
6,1,0
6,3,0
6,4,194625.00
