i,j,f0
2,3,0
1,6,0
1,3,"28,869.00"
1,4,0
3,2,161847
3,1,0
3,6,5
3,4,"163,465.00"
4,2,0
4,3,0
5,6,44230
6,1,0
6,3,71368
6,4,"169,393.00"
