i,j,f0
2,3,0
1,6,0
1,3,24528.00
1,4,0
3,2,202823
3,1,0
3,6,15781
3,4,282341.00
4,2,0
4,3,0
5,6,62130
6,1,0
6,3,13364
6,4,160165.00
