i,j,f0
2,3,0
1,6,0
1,3,"84,715.00"
1,4,0
3,2,"176,393.00"
3,1,0
3,6,0
3,4,"110,196.00"
4,2,0
4,3,0
5,6,"94,729.00"
6,1,0
6,3,0
6,4,"179,187.00"
