i,j,f0
2,3,0
1,6,0
1,3,27597.00
1,4,0
3,2,45407
3,1,0
3,6,0
3,4,114064.00
4,2,0
4,3,0
5,6,75210
6,1,0
6,3,0
6,4,176793.00
