i,j,f0
2,3,0
1,6,0
1,3,"26,456.00"
1,4,0
3,2,"187,430.00"
3,1,0
3,6,1
3,4,"322,916.00"
4,2,0
4,3,0
5,6,59947
6,1,0
6,3,76343
6,4,"105,966.00"
