i,j,f0
2,3,0
1,6,0
1,3,26268.00
1,4,0
3,2,270909.00
3,1,28755
3,6,66261
3,4,482272.00
4,2,0
4,3,0
5,6,59749.00
6,1,0
6,3,0
6,4,150142.00
