i,j,f0
2,3,0
1,6,0
1,3,28547.00
1,4,0
3,2,104218
3,1,0
3,6,9
3,4,198334.00
4,2,0
4,3,0
5,6,122497
6,1,0
6,3,141522
6,4,89044.00
