i,j,f0
2,3,0
1,6,0
1,3,23955.00
1,4,0
3,2,332742.00
3,1,31946
3,6,101582
3,4,658963.00
4,2,0
4,3,0
5,6,84768.00
6,1,0
6,3,0
6,4,153089.00
