i,j,f0
2,3,0
1,6,0
1,3,"27,398.00"
1,4,0
3,2,"132,923.00"
3,1,0
3,6,1
3,4,"92,474.00"
4,2,0
4,3,0
5,6,35205
6,1,0
6,3,63906
6,4,"91,151.00"
