i,j,f0
2,3,1000
1,6,1000
1,3,27052.50
1,4,1000
3,2,175184.50
3,1,1000
3,6,1000
3,4,120873.00
4,2,1000
4,3,1000
5,6,28822.5
6,1,1000
6,3,1000
6,4,88533.50
