i,j,f0
2,3,0
1,6,0
1,3,"27,484.00"
1,4,0
3,2,"84,950.00"
3,1,0
3,6,1
3,4,"236,086.00"
4,2,0
4,3,0
5,6,52731
6,1,0
6,3,80100
6,4,"101,533.00"
