i,j,f0
2,3,0
1,6,0
1,3,"72,126.00"
1,4,0
3,2,97995
3,1,0
3,6,11
3,4,"99,081.00"
4,2,0
4,3,0
5,6,64438
6,1,0
6,3,99681
6,4,"94,481.00"
