i,j,f0
2,3,1000
1,6,1000
1,3,26707
1,4,1000
3,2,269002
3,1,1000
3,6,1000
3,4,175632
4,2,1000
4,3,1000
5,6,22440
6,1,1000
6,3,1000
6,4,94639
