i,j,f0
2,3,0
1,6,0
1,3,45765.00
1,4,0
3,2,119398.00
3,1,0
3,6,2
3,4,85060.00
4,2,0
4,3,0
5,6,79151
6,1,0
6,3,107657
6,4,102513.00
