i,j,f0
2,3,0
1,6,0
1,3,73042
1,4,0
3,2,"152,824.00"
3,1,0
3,6,0
3,4,"357,909.00"
4,2,0
4,3,0
5,6,141336
6,1,0
6,3,166591
6,4,"178,000.00"
