i,j,f0
2,3,0
1,6,0
1,3,45942.00
1,4,0
3,2,212131
3,1,27031
3,6,34993
3,4,506001.00
4,2,0
4,3,0
5,6,87274
6,1,0
6,3,0
6,4,145356.00
