i,j,f0
2,3,0
1,6,0
1,3,"27,405.00"
1,4,0
3,2,"334,504.00"
3,1,40575
3,6,108497
3,4,"650,972.00"
4,2,0
4,3,0
5,6,"81,156.00"
6,1,0
6,3,0
6,4,"145,098.00"
