i,j,f0
2,3,0
1,6,0
1,3,"84,448.00"
1,4,0
3,2,149045
3,1,0
3,6,0
3,4,"105,719.00"
4,2,0
4,3,0
5,6,76165
6,1,0
6,3,138538
6,4,"166,221.00"
