i,j,f0
2,3,0
1,6,0
1,3,40641.00
1,4,0
3,2,115850.00
3,1,0
3,6,1
3,4,77429.00
4,2,0
4,3,0
5,6,70958
6,1,0
6,3,100415
6,4,64779.00
