i,j,f0
2,3,0
1,6,0
1,3,72792.00
1,4,0
3,2,297694.00
3,1,89999
3,6,110801
3,4,812181.00
4,2,0
4,3,0
5,6,94461
6,1,0
6,3,0
6,4,188603.00
