i,j,f0
2,3,0
1,6,0
1,3,26666.00
1,4,0
3,2,338800.00
3,1,0
3,6,69314
3,4,534336.00
4,2,0
4,3,0
5,6,72097
6,1,0
6,3,0
6,4,198489.00
