i,j,f0
2,3,0
1,6,0
1,3,49934.00
1,4,0
3,2,326331.00
3,1,30801
3,6,114718
3,4,612634.00
4,2,0
4,3,0
5,6,81867
6,1,0
6,3,0
6,4,151388.00
