i,j,f0
2,3,0
1,6,0
1,3,25420.00
1,4,0
3,2,220668.00
3,1,0
3,6,131
3,4,380677.00
4,2,0
4,3,0
5,6,20080.00
6,1,0
6,3,0
6,4,148679.00
