i,j,f0
2,3,0
1,6,0
1,3,"56,791.00"
1,4,0
3,2,172090
3,1,0
3,6,4
3,4,"109,746.00"
4,2,0
4,3,0
5,6,58417
6,1,0
6,3,56045
6,4,"131,994.00"
