i,j,f0
2,3,0
1,6,0
1,3,27608.00
1,4,0
3,2,216900.00
3,1,0
3,6,43
3,4,387293.00
4,2,0
4,3,0
5,6,641.00
6,1,0
6,3,0
6,4,123147.00
