i,j,f0
2,3,0
1,6,0
1,3,"42,123.00"
1,4,0
3,2,220564
3,1,1
3,6,23778
3,4,"606,289.00"
4,2,0
4,3,0
5,6,37418
6,1,0
6,3,101517
6,4,"148,082.00"
