i,j,f0
2,3,0
1,6,0
1,3,"69,094.00"
1,4,0
3,2,312645
3,1,57976
3,6,64240
3,4,"714,877.00"
4,2,0
4,3,0
5,6,90131
6,1,0
6,3,38964
6,4,"192,092.00"
