i,j,f0
2,3,0
1,6,0
1,3,"57,563.00"
1,4,0
3,2,136981
3,1,0
3,6,0
3,4,"285,805.00"
4,2,0
4,3,0
5,6,149382
6,1,0
6,3,168955
6,4,"77,141.00"
