i,j,f0
2,3,0
1,6,0
1,3,65973.00
1,4,0
3,2,202847
3,1,0
3,6,889
3,4,209411.00
4,2,0
4,3,0
5,6,87857
6,1,0
6,3,39186
6,4,133595.00
