i,j,f0
2,3,0
1,6,0
1,3,"75,490.00"
1,4,0
3,2,"278,865.00"
3,1,65280
3,6,118116
3,4,"813,766.31"
4,2,0
4,3,0
5,6,9835
6,1,0
6,3,0
6,4,"130,369.00"
