i,j,f0
2,3,0
1,6,0
1,3,"82,135.00"
1,4,0
3,2,"157,443.00"
3,1,5678
3,6,748
3,4,"285,288.00"
4,2,0
4,3,0
5,6,133410
6,1,0
6,3,140516
6,4,"101,263.00"
