i,j,f0
2,3,0
1,6,0
1,3,27321.00
1,4,0
3,2,183355
3,1,0
3,6,0
3,4,81995.00
4,2,0
4,3,0
5,6,55995
6,1,0
6,3,0
6,4,148616.00
