i,j,f0
2,3,0
1,6,0
1,3,73628.00
1,4,0
3,2,230683.00
3,1,0
3,6,0
3,4,214110.00
4,2,0
4,3,0
5,6,62982
6,1,0
6,3,112428
6,4,153509.00
