i,j,f0
2,3,0.00 
1,6,0.00 
1,3,"71,143.00 "
1,4,0.00 
3,2,"254,236.00 "
3,1,"71,515.00 "
3,6,"23,451.00 "
3,4,"1,306,045.00 "
4,2,0.00 
4,3,0.00 
5,6,"192,045.00 "
6,1,0.00 
6,3,0.00 
6,4,"178,131.00 "
