i,j,f0
2,3,0
1,6,0
1,3,"25,841.00"
1,4,0
3,2,"224,142.00"
3,1,0
3,6,72407
3,4,"414,561.00"
4,2,0
4,3,0
5,6,70769
6,1,0
6,3,0
6,4,"173,708.00"
