i,j,f0
2,3,0
1,6,0
1,3,79221.00
1,4,0
3,2,124894.00
3,1,0
3,6,0
3,4,106511.00
4,2,0
4,3,0
5,6,88613
6,1,0
6,3,144186
6,4,132057.00
