i,j,f0
2,3,0
1,6,0
1,3,73607.00
1,4,0
3,2,291281
3,1,82043
3,6,59992
3,4,1398381.00
4,2,0
4,3,0
5,6,229612
6,1,0
6,3,0
6,4,160638.00
