i,j,f0
2,3,0
1,6,0
1,3,73209.00
1,4,0
3,2,200890.00
3,1,0
3,6,2
3,4,166135.00
4,2,0
4,3,0
5,6,88318
6,1,0
6,3,64266
6,4,84267.00
