i,j,f0
2,3,0
1,6,0
1,3,71712.00
1,4,0
3,2,241717.00
3,1,37018
3,6,59708
3,4,487100.00
4,2,0
4,3,0
5,6,91309
6,1,0
6,3,14688
6,4,151946.00
