i,j,f0
2,3,1000
1,6,1000
1,3,26856.00
1,4,1000
3,2,297894.00
3,1,1000
3,6,1000
3,4,446668.00
4,2,1000
4,3,1000
5,6,36473
6,1,1000
6,3,1000
6,4,51318.00
