i,j,f0
2,3,0
1,6,0
1,3,979.00
1,4,0
3,2,"337,558.00"
3,1,0
3,6,61131
3,4,"490,587.00"
4,2,0
4,3,0
5,6,60181
6,1,0
6,3,0
6,4,"123,185.00"
