i,j,f0
2,3,0
1,6,0
1,3,"34,064.00"
1,4,0
3,2,223453
3,1,59618
3,6,57767
3,4,"907,179.00"
4,2,0
4,3,0
5,6,89355
6,1,0
6,3,0
6,4,"116,009.00"
