i,j,f0
2,3,0
1,6,0
1,3,77588.50
1,4,0
3,2,155133.50
3,1,2839
3,6,374
3,4,321598.50
4,2,0
4,3,0
5,6,137373
6,1,0
6,3,153553.5
6,4,139631.50
